Date,Confirmed,Recovered,Death,R_Confirmed,R_Recovered,R_Death,R_Active
Mar-29,40,4,4,40,4,4,32
Mar-30,1,0,2,41,4,6,31
Mar-31,6,2,2,47,6,8,33
Apr-01,2,10,1,49,16,9,24
Apr-02,8,0,2,57,16,11,30
Apr-03,1,1,0,58,17,11,30
Apr-04,4,0,0,62,17,11,34
Apr-05,3,0,0,65,17,11,37
Apr-06,0,0,0,65,17,11,37
Apr-07,3,8,1,68,25,12,31
Apr-08,1,9,1,69,34,13,22
Apr-09,1,5,0,70,39,13,18
Apr-10,1,0,0,71,39,13,19
Apr-11,3,2,1,74,41,14,19
Apr-12,0,0,0,74,41,14,19
Apr-13,0,1,0,74,42,14,18
Apr-14,2,0,1,76,42,15,19
Apr-15,3,1,1,79,43,16,20
Apr-16,1,1,0,80,44,16,20
Apr-17,3,2,0,83,46,16,21
Apr-18,0,2,0,83,48,16,19
Apr-19,6,0,0,89,48,16,25
Apr-20,3,0,0,92,48,16,28
Apr-21,5,0,0,97,48,16,33
Apr-22,1,1,1,98,49,17,32
Apr-23,0,2,0,98,51,17,30
Apr-24,1,1,0,99,52,17,30
Apr-25,5,2,0,104,54,17,33
Apr-26,4,4,1,108,58,18,32
Apr-27,2,0,0,110,58,18,34
Apr-28,3,2,0,113,60,18,35
Apr-29,0,1,0,113,61,18,34
Apr-30,5,4,1,118,65,19,34
May-01,0,0,0,118,65,19,34
May-02,6,0,0,124,65,19,40
May-03,1,2,0,125,67,19,39
May-04,0,1,0,125,68,19,38
May-05,11,0,0,136,68,19,49
May-06,6,1,0,142,69,19,54
May-07,1,0,0,143,69,19,55
May-08,9,11,0,152,80,19,53
May-09,7,0,1,159,80,20,59
May-10,0,2,0,159,82,20,57
May-11,0,0,0,159,82,20,57
May-12,0,0,1,159,82,21,56
May-13,0,1,0,159,83,21,55
May-14,12,0,1,171,83,22,66
May-15,4,1,0,175,84,22,69
May-16,1,8,0,176,92,22,62
May-17,2,0,0,178,92,22,64
May-18,15,0,0,193,92,22,79
May-19,7,6,0,200,98,22,80
May-20,0,3,0,200,101,22,77
May-21,13,2,0,213,103,22,88
May-22,5,0,0,218,103,22,93
May-23,8,5,0,226,108,22,96
May-24,3,0,0,229,108,22,99
May-25,2,2,0,231,110,22,99
May-26,18,1,0,249,111,22,116
May-27,4,2,2,253,113,24,116
May-28,0,4,0,253,117,24,112
May-29,30,3,0,283,120,24,139
May-30,15,0,1,298,120,25,153
May-31,2,7,0,300,127,25,148
Jun-01,0,1,0,300,128,25,147
Jun-02,5,9,0,305,137,25,143
Jun-03,2,1,0,307,138,25,144
Jun-04,1,10,0,308,148,25,135
Jun-05,0,16,0,308,164,25,119
Jun-06,1,14,0,309,178,25,106
Jun-07,3,7,1,312,185,26,101
Jun-08,0,4,0,312,189,26,97
Jun-09,4,2,0,316,191,26,99
Jun-10,11,9,0,327,200,26,101
Jun-11,17,7,0,344,207,26,111
Jun-12,3,6,0,347,213,26,108
Jun-13,9,16,0,356,229,26,101
Jun-14,6,0,0,362,229,26,107
Jun-15,0,3,0,362,232,26,104
Jun-16,0,7,0,362,239,26,97
Jun-17,2,4,0,364,243,26,95
Jun-18,0,3,0,364,246,26,92
Jun-19,6,4,0,370,250,26,94
Jun-20,10,0,0,380,250,26,104
Jun-21,9,1,0,389,251,26,112
Jun-22,0,0,0,389,251,26,112
Jun-23,1,1,0,390,252,26,112
Jun-24,5,7,0,395,259,26,110
Jun-25,0,6,0,395,265,26,104
Jun-26,7,1,0,402,266,26,110
Jun-27,1,25,0,403,291,26,86
Jun-28,8,9,1,411,300,27,84
Jun-29,0,1,1,411,301,28,82
Jun-30,5,1,0,416,302,28,86
Jul-01,19,8,0,435,310,28,97
Jul-02,6,4,0,441,314,28,99
Jul-03,8,6,0,449,320,28,101
Jul-04,3,7,0,452,327,28,97
Jul-05,11,5,0,463,332,28,103
Jul-06,0,2,0,463,334,28,101
Jul-07,13,1,0,476,335,28,113
Jul-08,8,1,0,484,336,28,120
Jul-09,32,12,0,516,348,28,140
Jul-10,20,6,1,536,354,29,153
Jul-11,11,11,1,547,365,30,152
Jul-12,14,8,0,561,373,30,158
Jul-13,1,0,0,562,373,30,159
Jul-14,38,0,2,600,373,32,195
Jul-15,13,4,2,613,377,34,202
Jul-16,30,18,0,643,395,34,214
Jul-17,7,6,0,650,401,34,215
Jul-18,21,15,1,671,416,35,220
Jul-19,15,3,0,686,419,35,232
Jul-20,6,6,0,692,425,35,232
Jul-21,10,8,0,702,433,35,234
Jul-22,10,4,0,712,437,35,240
Jul-23,34,13,1,746,450,36,260
Jul-24,7,23,1,753,473,37,243
Jul-25,8,18,0,761,491,37,233
Jul-26,20,25,0,781,516,37,228
Jul-27,1,8,0,782,524,37,221
Jul-28,15,16,0,797,540,37,220
Jul-29,36,8,2,833,548,39,246
Jul-30,23,14,0,856,562,39,255
Jul-31,18,9,0,874,571,39,264
Aug-01,36,19,1,910,590,40,280
Aug-02,6,13,2,916,603,42,271
Aug-03,1,9,1,917,612,43,262
Aug-04,17,3,2,934,615,45,274
Aug-05,1,32,0,935,647,45,243
Aug-06,15,19,0,950,666,45,239
Aug-07,10,15,0,960,681,45,234
Aug-08,6,22,0,966,703,45,218
Aug-09,11,19,0,977,722,45,210
Aug-10,32,6,0,1009,728,45,236
Aug-11,25,7,0,1034,735,45,254
Aug-12,14,10,0,1048,745,45,258
Aug-13,12,40,1,1060,785,46,229
Aug-14,12,55,0,1072,840,46,186
Aug-15,17,27,1,1089,867,47,175
Aug-16,47,7,0,1136,874,47,215
Aug-17,7,6,1,1143,880,48,215
Aug-18,14,14,0,1157,894,48,215
Aug-19,15,15,0,1172,909,48,215
Aug-20,3,7,0,1175,916,48,211
Aug-21,26,11,1,1201,927,49,225
Aug-22,14,16,1,1215,943,50,222
Aug-23,12,7,1,1227,950,51,226
Aug-24,0,5,1,1227,955,52,220
Aug-25,9,24,0,1236,979,52,205
Aug-26,4,13,0,1240,992,52,196
Aug-27,57,11,2,1297,1003,54,240
Aug-28,45,20,0,1342,1023,54,265
Aug-29,20,20,1,1362,1043,55,264
Aug-30,9,12,0,1371,1055,55,261
Aug-31,2,4,0,1373,1059,55,259
Sep-01,11,22,0,1384,1081,55,248
Sep-02,8,29,0,1392,1110,55,227
Sep-03,17,37,0,1409,1147,55,207
Sep-04,2,21,0,1411,1168,55,188
Sep-05,15,7,0,1426,1175,55,196
Sep-06,27,10,1,1453,1185,56,212
Sep-07,11,9,0,1464,1194,56,214
Sep-08,7,6,1,1471,1200,57,214
Sep-09,17,27,1,1488,1227,58,203
Sep-10,6,22,1,1494,1249,59,186
Sep-11,29,20,0,1523,1269,59,195
Sep-12,46,15,0,1569,1284,59,226
Sep-13,11,9,0,1580,1293,59,228
Sep-14,7,8,0,1587,1301,59,227
Sep-15,15,4,2,1602,1305,61,236
Sep-16,12,17,0,1614,1322,61,231
Sep-17,15,11,0,1629,1333,61,235
Sep-18,29,25,0,1658,1358,61,239
Sep-19,14,14,1,1672,1372,62,238