days_passed,doubling_confirmed,doubling_death
5,9.3,3.4
10,12.7,5.9
15,16.9,8.3
20,19.0,10.0
25,19.3,12.0
30,20.0,13.8
35,21.3,15.6
40,20.8,17.8
45,22.6,18.8
50,22.0,20.3
55,22.0,22.4
60,22.5,23.2
65,22.2,24.6
75,24.1,27.8
80,25.1,29.6
85,25.9,31.5
90,27.0,33.3
95,27.4,33.8
100,28.0,35.6
105,27.5,36.1
110,27.3,35.6
115,27.7,36.7
120,28.2,37.4
125,27.7,37.6
130,28.4,37.2
135,28.8,38.7
140,29.0,39.4
145,29.5,40.1
150,29.9,39.9
155,30.4,41.0
160,31.0,42.3
165,31.6,42.5
170,31.9,43.2
175,32.4,44.3
180,32.7,43.4
185,33.0,43.2
190,33.2,43.4